LOCAL_WELL,OWNERS_NAM,WATER_LEVE,AQUIFER_NA,WELL_STATU
925,BATON ROUGE WW,0,1200-FOOT SAND OF BATON ROUGE AREA,Active
9347Z,CRESCENT CROWN,3.9,[TO BE DETERMINED],Plugged and Abandonded
8377Z,MURPHY OIL,3.25,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
204,KLEINPETER FARM,15.1,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
441,RESTHAVEN GARDN,21,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
5036Z,WOOLF & MAGEE,5,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
5165Z,"HARRELL, WILL",0,[UNKNOWN],Plugged and Abandonded
9277Z,"EDWARDS, EDWIN",0,[TO BE DETERMINED],Plugged and Abandonded
7447Z,FONTENOT PETRO,7.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Destroyed
9863Z,SHELTON CHAPMAN,,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
9864Z,SHELTON CHAPMAN,30,400-FOOT SAND OF BATON ROUGE AREA,Active
9855Z,"MWH AMERICAS, INC",,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9856Z,"MWH AMERICAS, INC",,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
1286,WALDEN,12,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
9869Z,JOHN PITTMAN,27,SHALLOW SANDS OF BATON ROUGE AREA,Active
9849Z,RYAN KENNEDY,35,GONZALES-NEW ORLEANS AQUIFER,Active
9850Z,DANIEL KENNEDY,35,400-FOOT SAND OF BATON ROUGE AREA,Active
1399,BATON ROUGE WATER COMPANY,,1500-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
