LOCAL_WELL,OWNERS_NAM,WATER_LEVE,AQUIFER_NA,WELL_STATU
8784Z,CHEVRON,3.71,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8785Z,CHEVRON,5.22,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8786Z,CHEVRON,3.86,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8788Z,CHEVRON,2.04,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8789Z,CHEVRON,4.84,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8895Z,CHEVRON PRODUCT,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8896Z,CHEVRON PRODUCT,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7507Z,BLUEBONNET VIL,12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7652Z,IRT PROPERTIES,16,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
8433Z,BLUEBONNET VIL,16,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9989Z,CSRS INC,14.4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9973Z,COLLETTE OIL COMPANY,3.21,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9975Z,COLLETTE OIL COMPANY,5.43,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9976Z,COLLETTE OIL COMPANY,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9977Z,COLLETTE OIL COMPANY,3.65,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9978Z,COLLETTE OIL COMPANY,7.84,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8790Z,CHEVRON,5.07,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9980Z,COLLETTE OIL COMPANY,2.72,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8787Z,CHEVRON,5.52,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8894Z,CHEVRON PRODUCT,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9974Z,COLLETTE OIL COMPANY,1.42,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9979Z,COLLETTE OIL COMPANY,3.75,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9908Z,MORRIS N AND NANCY B HARPER REVOCABLE TRUST,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9909Z,MORRIS N AND NANCY B HARPER REVOCABLE TRUST,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
