LocalWellNumber,WellDepth,Well_Depth_Meters,WellUse,Active,LastActive_Plugged,LastActive_Plugged_date,DateConstructed,Yield,SerialNumber
503,400,121.92,Domestic,Y,Current,08/02/21,7/1/1949,NN,NN
510,1605,489.204,Public Supply,Y,Current,08/02/21,1/1/1951,1000,1033005
521,458,139.5984,Domestic,N,10/01/00,10/01/00,5/1/1951,NN,NN
523,1206,367.5888,Public Supply,Y,Current,08/02/21,9/1/1953,890,1033005
552,730,222.504,Public Supply,N,5/21/2019,05/21/19,10/1/1953,160,NN
567,1245,379.476,Industrial,Y,Current,08/02/21,12/1/1954,1125,NN
576,1270,387.096,Industrial,Y,Current,08/02/21,8/1/1954,1050,NN
580,1242,378.5616,Industrial,Y,Current,08/02/21,12/1/1955,1200,NN
584,1414,430.9872,Public Supply,Y,Current,08/02/21,5/1/1956,685,1033005
592,696,212.1408,Irrigation,Y,Current,08/02/21,1/1/1955,NN,NN
622,1420,432.816,Public Supply,Y,Current,08/02/21,12/1/1956,1300,NN
632,1060,323.088,Public Supply,Y,Current,08/02/21,3/1/1957,1200,1033005
648,400,121.92,Irrigation,Y,Current,08/02/21,7/1/1967,NN,NN
649,1250,381,Industrial,Y,Current,08/02/21,5/1/1957,1722,NN
653,1153,351.4344,Public Supply,Y,Current,08/02/21,6/1/1954,1050,1033005
654,2382,726.0336,Public Supply,Y,Current,08/02/21,1/1/1954,915,1033005
657,1618,493.1664,Public Supply,Y,Current,08/02/21,9/1/1955,1000,1033005
658,1604,488.8992,Public Supply,Y,Current,08/02/21,9/1/1956,1000,1033005
665,116,35.3568,Domestic,Y,Current,08/02/21,1/1/1946,NN,NN
674,2250,685.8,Industrial,N,4/3/2011,04/03/11,12/1/1958,NN,NN
679,1269,386.7912,Public Supply,Y,Current,08/02/21,1/1/1954,NN,NN
704,236,71.9328,Domestic,Y,Current,08/02/21,3/1/1939,NN,NN
707,1717,523.3416,Domestic,Y,Current,08/02/21,3/1/1945,NN,NN
726,1601,487.9848,Public Supply,Y,Current,08/02/21,8/1/1960,735,1033005
733,2637,803.7576,Public Supply,Y,Current,08/02/21,5/1/1961,1440,1033005
735,481,146.6088,Domestic,Y,Current,08/02/21,10/1/1961,NN,NN
737,2029,618.4392,Industrial,Y,Current,08/02/21,12/1/1960,1085,NN
751,2595,790.956,Public Supply,Y,Current,08/02/21,1/1/1962,1000,1033005
752,1263,384.9624,Public Supply,Y,Current,08/02/21,3/1/1954,750,1033025
756,1168,356.0064,Public Supply,Y,Current,08/02/21,6/1/1962,975,1033005
769,2362,719.9376,Public Supply,Y,Current,08/02/21,5/1/1963,1150,1033005
771,1739,530.0472,Public Supply,Y,Current,08/02/21,5/1/1963,1087,1033005
772,1214,370.0272,Public Supply,Y,Current,08/02/21,12/1/1963,1275,1033005
774,2143,653.1864,Public Supply,Y,Current,08/02/21,1/1/1964,1000,1033005
775,430,131.064,Domestic,Y,Current,08/02/21,8/1/1964,NN,NN
793,687,209.3976,Observation,Y,Current,08/02/21,8/1/1988,NN,NN
797,1313,400.2024,Domestic,Y,Current,08/02/21,8/1/1965,NN,NN
799,390,118.872,Domestic,Y,Current,08/02/21,8/1/1965,NN,NN
797,1313,400.2024,Domestic,Y,Current,08/02/21,8/1/1965,NN,NN
814,2168,660.8064,Public Supply,Y,Current,08/02/21,8/1/1966,980,1033005
856,2040,621.792,Industrial,Y,Current,08/02/21,9/1/1967,1900,NN
866,400,121.92,Observation,Y,Current,08/02/21,6/1/1970,NN,NN
870,692,210.9216,Observation,Y,Current,08/02/21,3/1/1971,18,NN
873,1884,574.2432,Public Supply,Y,Current,08/02/21,4/1/1970,NN,1033005
878,2178,663.8544,Public Supply,Y,Current,08/02/21,8/1/1971,NN,1033005
884,2120,646.176,Industrial,Y,Current,08/02/21,9/1/1969,1982,NN
910,365,111.252,Domestic,Y,Current,08/02/21,1/1/1959,NN,NN
917,1736,529.1328,Observation,Y,Current,08/02/21,10/1/1973,48,NN
926,980,298.704,Public Supply,Y,Current,08/02/21,4/1/1973,1000,1033005
927,1511,460.5528,Public Supply,Y,Current,08/02/21,6/1/1973,1120,1033005
928,2375,723.9,Public Supply,Y,Current,08/02/21,8/1/1973,1100,1033005
933,603,183.7944,Observation,Y,Current,08/02/21,5/1/1974,3,NN
934,385,117.348,Observation,Y,Current,08/02/21,5/1/1974,NN,NN
938,1599,487.3752,Public Supply,Y,Current,08/02/21,6/1/1972,1300,1033005
939,1592,485.2416,Public Supply,Y,Current,08/02/21,7/1/1974,1200,1033005
944,2792,851.0016,Observation,Y,Current,08/02/21,2/1/1975,45,NN
945,654,199.3392,Observation,Y,Current,08/02/21,2/1/1975,30,NN
946,1234,376.1232,Observation,Y,Current,08/02/21,3/1/1975,50,NN
961,1541,469.6968,Public Supply,Y,Current,08/02/21,11/1/1975,1225,1033005
962,2066,629.7168,Industrial,Y,Current,08/02/21,6/1/1969,1940,NN
988,390,118.872,Irrigation,Y,Current,08/02/21,1/1/1973,25,NN
997,295,89.916,Domestic,N,5/19/2015,05/19/15,7/1/1977,NN,NN
1003,1431,436.1688,Public Supply,Y,Current,08/02/21,8/1/1977,NN,1033005
1004,2605,794.004,Public Supply,Y,Current,08/02/21,12/1/1977,NN,1033005
1019,465,141.732,Irrigation,Y,Current,08/02/21,1/8/2021,30,NN
1030,2040,621.792,Industrial,Y,Current,08/02/21,3/1/1981,NN,NN
1035,973,296.5704,Public Supply,Y,Current,08/02/21,8/1/1983,NN,1033005
1123,982,299.3136,Public Supply,Y,Current,08/02/21,10/1/1985,NN,1033005
1137,462,140.8176,Public Supply,Y,Current,08/02/21,6/1/1985,40,NN
1157,363,110.6424,Irrigation,Y,Current,08/02/21,2/1/1987,NN,NN
1158,360,109.728,Public Supply,Y,Current,08/02/21,5/1/1987,30,NN
1185,460,140.208,Irrigation,Y,Current,08/02/21,5/1/1988,NN,NN
1205,360,109.728,Industrial,Y,Current,08/02/21,8/1/1984,NN,NN
1210,900,274.32,Public Supply,Y,Current,08/02/21,1/1/1978,NN,NN
1216,425,129.54,Irrigation,Y,Current,08/02/21,9/1/1989,380,NN
1220A,460,140.208,Other,Y,Current,08/02/21,6/1/1990,NN,NN
1220B,1015,309.372,Public Supply,Y,Current,08/02/21,9/1/1990,1167,1033005
1221,225,68.58,Industrial,Y,Current,08/02/21,1/1/1984,NN,NN
1230,1204,366.9792,Industrial,Y,Current,08/02/21,6/1/1991,1000,NN
1252,2633,802.5384,Public Supply,Y,Current,08/02/21,5/1/1993,1251,1033005
1262,2580,786.384,Public Supply,Y,Current,08/02/21,1/1/1995,1205,1033005
1274,860,262.128,Observation,Y,Current,08/02/21,12/1/1996,101,NN
1276,1075,327.66,Public Supply,Y,Current,08/02/21,5/1/1997,1001,NN
1293A,1754,534.6192,Other,Y,Current,08/02/21,6/1/1998,NN,NN
1293B,1754,534.6192,Other,Y,Current,08/02/21,6/1/1998,NN,NN
1303,1707,520.2936,Public Supply,Y,Current,08/02/21,10/1/2000,1906,NN
1308,1070,326.136,Public Supply,Y,Current,08/02/21,9/1/2001,1251,NN
1327,515,156.972,Irrigation,Y,Current,08/02/21,12/1/2003,NN,NN
1352,870,265.176,Public Supply,Y,Current,08/02/21,4/1/2006,2476,NN
1353,2480,755.904,Public Supply,Y,Current,08/02/21,5/1/2006,2093,NN
1354,880,268.224,Public Supply,Y,Current,08/02/21,5/1/2006,2524,NN
1356,1875,571.5,Public Supply,Y,Current,08/02/21,6/1/2007,NN,NN
1367,2475,754.38,Public Supply,Y,Current,08/02/21,6/1/2008,2382,NN
1372,831,253.2888,Industrial,Y,Current,08/02/21,9/1/2009,NN,NN
5118Z,50,15.24,Monitor,Y,Current,08/02/21,11/1/1983,NN,NN
5119Z,38,11.5824,Monitor,Y,Current,08/02/21,11/1/1983,NN,NN
5122Z,26,7.9248,Monitor,Y,Current,08/02/21,11/1/1983,NN,NN
5123Z,38,11.5824,Monitor,Y,Current,08/02/21,11/1/1983,NN,NN
5124Z,30,9.144,Monitor,Y,Current,08/02/21,11/1/1983,NN,NN
5125Z,48,14.6304,Monitor,Y,Current,08/02/21,11/1/1983,NN,NN
5130Z,16,4.8768,Monitor,Y,Current,08/02/21,11/1/1983,NN,NN
5209Z,200,60.96,Heat Pump,Y,Current,08/02/21,2/1/1986,NN,NN
5255Z,12,3.6576,Piezometer,N,04/01/09,04/01/09,1/1/1992,NN,NN
5257Z,32,9.7536,Piezometer,Y,Current,08/02/21,12/1/1991,NN,REFINERY
5258Z,38,11.5824,Monitor,Y,Current,08/02/21,12/1/1991,NN,REFINERY
5259Z,27,8.2296,Recovery,Y,Current,08/02/21,12/1/1991,NN,REFINERY
5276Z,21,6.4008,Recovery,N,08/01/06,08/01/06,10/1/1991,NN,5-1751
5277Z,18,5.4864,Recovery,N,08/01/06,08/01/06,11/1/1991,NN,5-1751
5327Z,0,0,Heat Pump,Y,Current,08/02/21,4/1/1986,NN,NN
5359Z,150,45.72,Heat Pump,Y,Current,08/02/21,6/1/1986,NN,NN
5360Z,170,51.816,Heat Pump,Y,Current,08/02/21,6/1/1986,NN,NN
5375Z,19,5.7912,Monitor,N,08/01/06,08/01/06,7/1/1986,NN,5-1751
5376Z,19,5.7912,Monitor,N,08/01/06,08/01/06,7/1/1986,NN,5-1751
5380Z,200,60.96,Heat Pump,Y,Current,08/02/21,7/1/1986,NN,NN
5389Z,300,91.44,Heat Pump,Y,Current,08/02/21,9/1/1986,NN,NN
5390Z,300,91.44,Heat Pump,Y,Current,08/02/21,7/1/1986,NN,NN
5475Z,400,121.92,Domestic,Y,Current,08/02/21,2/1/1987,NN,NN
5476Z,11,3.3528,Monitor,?,NN,NN,2/1/1987,NN,5-0550
5477Z,11,3.3528,Monitor,?,NN,NN,2/1/1987,NN,5-0550
5478Z,11,3.3528,Monitor,?,NN,NN,2/1/1987,NN,5-0550
5488Z,450,137.16,Domestic,Y,Current,08/02/21,7/1/1986,NN,NN
5490Z,300,91.44,Heat Pump,Y,Current,08/02/21,2/1/1987,NN,NN
5495Z,300,91.44,Heat Pump,Y,Current,08/02/21,3/1/1987,NN,NN
5553Z,365,111.252,Domestic,Y,Current,08/02/21,6/1/1987,NN,NN
5606Z,21,6.4008,Monitor,N,08/01/03,08/01/03,9/1/1987,NN,NN
5608Z,15,4.572,Monitor,Y,Current,08/02/21,9/1/1987,NN,NN
5615Z,14,4.2672,Monitor,Y,Current,08/02/21,11/1/1987,NN,NN
5616Z,18,5.4864,Monitor,Y,Current,08/02/21,11/1/1987,NN,NN
5617Z,15,4.572,Monitor,Y,Current,08/02/21,12/1/1987,NN,NN
5618Z,15,4.572,Monitor,?,NN,NN,12/1/1987,NN,NN
5619Z,15,4.572,Monitor,?,NN,NN,12/1/1987,NN,NN
5620Z,15,4.572,Monitor,?,NN,NN,12/1/1987,NN,NN
5629Z,0,0,Heat Pump,Y,Current,08/02/21,11/1/1987,NN,NN
5631Z,22,6.7056,Monitor,Y,Current,08/02/21,1/1/1988,NN,NN
5632Z,13,3.9624,Monitor,Y,Current,08/02/21,1/1/1988,NN,NN
5633Z,13,3.9624,Monitor,Y,Current,08/02/21,1/1/1988,NN,NN
5640Z,16,4.8768,Monitor,N,08/01/03,08/01/03,2/1/1988,NN,109030
5641Z,16,4.8768,Monitor,N,08/01/03,08/01/03,2/1/1988,NN,109030
5644Z,84,25.6032,Monitor,Y,Current,08/02/21,8/1/1987,NN,NN
5645Z,82,24.9936,Monitor,Y,Current,08/02/21,8/1/1987,NN,NN
5648Z,31,9.4488,Monitor,Y,Current,08/02/21,8/1/1987,NN,NN
5649Z,46,14.0208,Monitor,Y,Current,08/02/21,8/1/1987,NN,NN
5650Z,78,23.7744,Monitor,Y,Current,08/02/21,8/1/1987,NN,NN
5652Z,16,4.8768,Monitor,Y,Current,08/02/21,2/1/1988,NN,NN
5653Z,16,4.8768,Monitor,Y,Current,08/02/21,2/1/1988,NN,NN
5654Z,16,4.8768,Monitor,Y,Current,08/02/21,2/1/1988,NN,NN
5665Z,10,3.048,Monitor,Y,Current,08/02/21,3/1/1988,NN,NN
5666Z,10,3.048,Monitor,Y,Current,08/02/21,3/1/1988,NN,NN
5668Z,17,5.1816,Monitor,Y,Current,08/02/21,4/1/1988,NN,3980053
5669Z,18,5.4864,Monitor,N,03/01/99,03/01/99,4/1/1988,NN,3980053
5670Z,18,5.4864,Monitor,N,03/01/99,03/01/99,4/1/1988,NN,3980053
5678Z,10,3.048,Monitor,Y,Current,08/02/21,5/1/1988,NN,NN
5679Z,10,3.048,Monitor,Y,Current,08/02/21,5/1/1988,NN,NN
5680Z,9,2.7432,Monitor,Y,Current,08/02/21,5/1/1988,NN,NN
5681Z,10,3.048,Monitor,Y,Current,08/02/21,5/1/1988,NN,NN
5683Z,17,5.1816,Monitor,Y,Current,08/02/21,5/1/1988,NN,NN
5684Z,17,5.1816,Monitor,Y,Current,08/02/21,5/1/1988,NN,NN
5685Z,17,5.1816,Monitor,Y,Current,08/02/21,5/1/1988,NN,NN
5686Z,17,5.1816,Monitor,Y,Current,08/02/21,5/1/1988,NN,NN
5687Z,17,5.1816,Monitor,Y,Current,08/02/21,5/1/1988,NN,NN
5696Z,15,4.572,Monitor,Y,Current,08/02/21,6/1/1988,NN,NN
5697Z,45,13.716,Monitor,Y,Current,08/02/21,5/1/1988,NN,NN
5698Z,52,15.8496,Monitor,Y,Current,08/02/21,5/1/1988,NN,NN
5699Z,14,4.2672,Monitor,N,7/12/2018,07/12/18,5/1/1988,NN,TERM5005
5700Z,14,4.2672,Monitor,N,7/12/2018,07/12/18,5/1/1988,NN,TERM5005
5701Z,14,4.2672,Monitor,Y,Current,08/02/21,5/1/1988,NN,TERM5005
5702Z,14,4.2672,Monitor,N,7/12/2018,07/12/18,5/1/1988,NN,TERM5005
5703Z,14,4.2672,Monitor,N,7/12/2018,07/12/18,5/1/1988,NN,TERM5005
5704Z,14,4.2672,Monitor,Y,Current,08/02/21,5/1/1988,NN,TERM5005
5709Z,200,60.96,Heat Pump,Y,Current,08/02/21,3/1/1988,NN,NN
5726Z,15,4.572,Monitor,N,12/01/08,12/01/08,6/1/1988,NN,NN
5748Z,15,4.572,Monitor,Y,Current,08/02/21,7/1/1988,NN,NN
5749Z,15,4.572,Monitor,Y,Current,08/02/21,7/1/1988,NN,NN
5779Z,15,4.572,Monitor,N,12/01/08,12/01/08,7/1/1988,NN,NN
5780Z,15,4.572,Monitor,N,12/01/08,12/01/08,7/1/1988,NN,NN
5781Z,15,4.572,Monitor,N,11/01/08,11/01/08,7/1/1988,NN,NN
5782Z,15,4.572,Monitor,N,11/01/08,11/01/08,7/1/1988,NN,NN
5834Z,33,10.0584,Monitor,Y,Current,08/02/21,4/1/1992,NN,NN
5835Z,45,13.716,Monitor,Y,Current,08/02/21,4/1/1992,NN,NN
5853Z,15,4.572,Monitor,Y,Current,08/02/21,9/1/1991,NN,5-0550
5854Z,15,4.572,Monitor,Y,Current,08/02/21,9/1/1991,NN,5-0550
5855Z,15,4.572,Monitor,Y,Current,08/02/21,9/1/1991,NN,5-0550
5856Z,15,4.572,Monitor,Y,Current,08/02/21,9/1/1991,NN,5-0550
5857Z,15,4.572,Monitor,Y,Current,08/02/21,9/1/1991,NN,5-0550
5858Z,14,4.2672,Monitor,N,7/12/2018,07/12/18,5/1/1992,NN,TERM5005
5859Z,15,4.572,Monitor,N,7/12/2018,07/12/18,4/1/1992,NN,TERM5005
5860Z,15,4.572,Monitor,N,7/12/2018,07/12/18,4/1/1992,NN,TERM5005
5861Z,14,4.2672,Monitor,N,04/01/00,04/01/00,9/1/1991,NN,5-3707
5862Z,14,4.2672,Monitor,N,04/01/00,04/01/00,9/1/1991,NN,5-3707
5863Z,14,4.2672,Monitor,N,04/01/00,04/01/00,9/1/1991,NN,5-3707
5864Z,14,4.2672,Monitor,N,04/01/00,04/01/00,9/1/1991,NN,5-3707
5865Z,14,4.2672,Monitor,N,05/01/99,05/01/99,9/1/1991,NN,5-2394
5866Z,14,4.2672,Monitor,N,05/01/99,05/01/99,9/1/1991,NN,5-2394
5867Z,14,4.2672,Monitor,N,05/01/99,05/01/99,9/1/1991,NN,5-2394
5869Z,14,4.2672,Monitor,N,12/01/99,12/01/99,02/01/2003,NN,5-1170
5870Z,10,3.048,Monitor,N,12/01/99,12/01/99,02/01/2003,NN,5-1170
5871Z,14,4.2672,Monitor,N,12/01/99,12/01/99,02/01/2003,NN,5-1170
5898Z,22,6.7056,Monitor,N,09/01/01,09/01/01,6/1/1992,NN,985
5899Z,22,6.7056,Monitor,N,09/01/01,09/01/01,6/1/1992,NN,985
5900Z,20,6.096,Monitor,N,09/01/01,09/01/01,8/1/1992,NN,985
5901Z,25,7.62,Monitor,N,09/01/01,09/01/01,3/1/1992,NN,985
5906Z,25,7.62,Monitor,N,09/01/01,09/01/01,3/1/1992,NN,985
5910Z,24,7.3152,Monitor,N,09/01/01,09/01/01,2/1/1992,NN,985
5944Z,15,4.572,Piezometer,Y,Current,08/02/21,12/1/1988,NN,NN
5945Z,15,4.572,Piezometer,Y,Current,08/02/21,12/1/1988,NN,NN
5948Z,15,4.572,Monitor,Y,Current,08/02/21,12/1/1988,NN,5-1170
5949Z,15,4.572,Monitor,Y,Current,08/02/21,12/1/1988,NN,5-1170
5950Z,15,4.572,Monitor,N,10/01/02,10/01/02,12/1/1988,NN,NN
5951Z,15,4.572,Monitor,N,10/01/02,10/01/02,12/1/1988,NN,NN
5952Z,17,5.1816,Monitor,Y,Current,08/02/21,12/1/1988,NN,60109063
5953Z,17,5.1816,Monitor,Y,Current,08/02/21,12/1/1988,NN,60109063
5954Z,17,5.1816,Monitor,Y,Current,08/02/21,12/1/1988,NN,NN
5956Z,10,3.048,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
5957Z,10,3.048,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
5958Z,17,5.1816,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
5959Z,10,3.048,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
5964Z,12,3.6576,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
5965Z,12,3.6576,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
5966Z,20,6.096,Monitor,Y,Current,08/02/21,9/1/1988,NN,NN
5967Z,10,3.048,Monitor,Y,Current,08/02/21,9/1/1988,NN,NN
5968Z,25,7.62,Monitor,Y,Current,08/02/21,9/1/1988,NN,NN
5969Z,10,3.048,Monitor,Y,Current,08/02/21,9/1/1988,NN,NN
5970Z,20,6.096,Monitor,Y,Current,08/02/21,9/1/1988,NN,NN
5992Z,12,3.6576,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
5993Z,10,3.048,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
5994Z,20,6.096,Monitor,Y,Current,08/02/21,9/1/1988,NN,NN
5995Z,10,3.048,Monitor,Y,Current,08/02/21,9/1/1988,NN,NN
5996Z,20,6.096,Monitor,Y,Current,08/02/21,9/1/1988,NN,NN
5997Z,23,7.0104,Monitor,Y,Current,08/02/21,9/1/1988,NN,NN
5998Z,10,3.048,Monitor,Y,Current,08/02/21,9/1/1988,NN,NN
5999Z,20,6.096,Monitor,Y,Current,08/02/21,9/1/1988,NN,NN
6000Z,16,4.8768,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
6001Z,15,4.572,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
6003Z,10,3.048,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
6008Z,10,3.048,Monitor,Y,Current,08/02/21,7/1/1988,NN,NN
6009Z,12,3.6576,Monitor,Y,Current,08/02/21,7/1/1988,NN,NN
6010Z,12,3.6576,Monitor,N,02/01/06,02/01/06,8/1/1988,NN,NN
6011Z,10,3.048,Monitor,N,02/01/06,02/01/06,8/1/1988,NN,NN
6026Z,25,7.62,Monitor,N,11/01/99,11/01/99,9/1/1988,NN,NN
6027Z,25,7.62,Monitor,N,11/01/99,11/01/99,9/1/1988,NN,NN
6028Z,10,3.048,Monitor,N,11/01/99,11/01/99,9/1/1988,NN,NN
6029Z,25,7.62,Monitor,N,11/01/99,11/01/99,9/1/1988,NN,NN
6030Z,20,6.096,Monitor,N,11/01/99,11/01/99,9/1/1988,NN,NN
6031Z,10,3.048,Monitor,N,11/01/99,11/01/99,9/1/1988,NN,NN
6032Z,10,3.048,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
6033Z,12,3.6576,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
6038Z,12,3.6576,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
6039Z,10,3.048,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
6042Z,10,3.048,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
6043Z,12,3.6576,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
6046Z,10,3.048,Monitor,Y,Current,08/02/21,7/1/1988,NN,NN
6047Z,11,3.3528,Monitor,Y,Current,08/02/21,7/1/1988,NN,NN
6055Z,300,91.44,Heat Pump,Y,Current,08/02/21,11/1/1988,NN,NN
6056Z,300,91.44,Heat Pump,Y,Current,08/02/21,12/1/1988,NN,NN
6205Z,17,5.1816,Monitor,N,10/01/06,10/01/06,6/1/1989,NN,60109050
6206Z,17,5.1816,Monitor,N,10/01/06,10/01/06,6/1/1989,NN,60109050
6207Z,17,5.1816,Monitor,N,10/01/06,10/01/06,6/1/1989,NN,60109050
6208Z,17,5.1816,Monitor,N,10/01/06,10/01/06,6/1/1989,NN,60109050
6209Z,6,1.8288,Monitor,N,10/01/06,10/01/06,6/1/1989,NN,60109050
6218Z,19,5.7912,Monitor,Y,Current,08/02/21,5/1/1989,NN,3980003
6219Z,19,5.7912,Monitor,Y,Current,08/02/21,5/1/1989,NN,3980003
6220Z,19,5.7912,Monitor,Y,Current,08/02/21,5/1/1989,NN,3980003
6221Z,19,5.7912,Monitor,Y,Current,08/02/21,5/1/1989,NN,3980003
6222Z,16,4.8768,Monitor,Y,Current,08/02/21,6/1/1989,NN,3981366
6239Z,11,3.3528,Monitor,Y,Current,08/02/21,6/1/1989,NN,60109064
6243Z,14,4.2672,Monitor,Y,Current,08/02/21,8/1/1989,NN,60109064
6244Z,14,4.2672,Monitor,Y,Current,08/02/21,6/1/1989,NN,60109064
6281Z,16,4.8768,Monitor,N,08/01/03,08/01/03,8/1/1989,NN,60109030
6292Z,14,4.2672,Monitor,Y,Current,08/02/21,10/1/1989,NN,NN
6293Z,14,4.2672,Monitor,Y,Current,08/02/21,10/1/1989,NN,NN
6329Z,18,5.4864,Monitor,Y,Current,08/02/21,9/1/1989,NN,60160242
6330Z,18,5.4864,Monitor,Y,Current,08/02/21,9/1/1989,NN,60160242
6331Z,18,5.4864,Monitor,Y,Current,08/02/21,9/1/1989,NN,60160242
6332Z,18,5.4864,Monitor,Y,Current,08/02/21,9/1/1989,NN,60160242
6379Z,500,152.4,Heat Pump,Y,Current,08/02/21,11/1/1989,NN,NN
6380Z,445,135.636,Domestic,Y,Current,08/02/21,3/1/1990,NN,NN
6381Z,14,4.2672,Monitor,N,02/01/03,02/01/03,12/1/1989,NN,5-1170
6382Z,14,4.2672,Monitor,N,02/01/03,02/01/03,12/1/1989,NN,5-1170
6465Z,15,4.572,Monitor,Y,Current,08/02/21,3/1/1990,NN,NN
6468Z,21,6.4008,Monitor,Y,Current,08/02/21,3/1/1990,NN,NN
6469Z,20,6.096,Monitor,Y,Current,08/02/21,3/1/1990,NN,NN
6478Z,26,7.9248,Monitor,Y,Current,08/02/21,11/1/1990,NN,NN
6521Z,14,4.2672,Monitor,N,09/01/07,09/01/07,9/1/1989,NN,60109057
6522Z,15,4.572,Monitor,N,09/01/07,09/01/07,9/1/1989,NN,60109057
6523Z,15,4.572,Monitor,N,09/01/07,09/01/07,9/1/1989,NN,60109057
6524Z,15,4.572,Monitor,N,09/01/07,09/01/07,9/1/1989,NN,60109057
6559Z,16,4.8768,Monitor,Y,Current,08/02/21,10/1/1990,NN,5-0743
6581Z,160,48.768,Rig Supply,Y,Current,08/02/21,11/1/1990,NN,NN
6582Z,16,4.8768,Monitor,N,08/01/03,08/01/03,7/1/1990,NN,NN
6583Z,16,4.8768,Monitor,N,08/01/03,08/01/03,7/1/1990,NN,NN
6584Z,16,4.8768,Monitor,N,08/01/03,08/01/03,7/1/1990,NN,NN
6595Z,16,4.8768,Monitor,N,03/01/99,03/01/99,5/1/1990,NN,3980053
6596Z,21,6.4008,Monitor,Y,Current,08/02/21,5/1/1990,NN,3980053
6613Z,250,76.2,Heat Pump,Y,Current,08/02/21,6/1/1990,NN,NN
6623Z,14,4.2672,Monitor,Y,Current,08/02/21,2/1/1991,NN,REFINERY
6624Z,14,4.2672,Monitor,Y,Current,08/02/21,2/1/1991,NN,REFINERY
6625Z,14,4.2672,Monitor,Y,Current,08/02/21,2/1/1991,NN,REFINERY
6626Z,24,7.3152,Monitor,Y,Current,08/02/21,12/1/1990,NN,5-7080
6627Z,24,7.3152,Monitor,Y,Current,08/02/21,12/1/1990,NN,5-7080
6628Z,24,7.3152,Monitor,Y,Current,08/02/21,12/1/1990,NN,5-7080
6632Z,33,10.0584,Monitor,N,NN,NN,12/1/1990,NN,5-1362
6633Z,35,10.668,Monitor,N,2/7/2018,02/07/18,12/1/1990,NN,5-1362
6634Z,31,9.4488,Monitor,N,2/7/2018,02/07/18,12/1/1990,NN,5-1362
6635Z,29,8.8392,Monitor,N,04/01/00,04/01/00,12/1/1990,NN,5-3707
6636Z,24,7.3152,Monitor,N,04/01/00,04/01/00,12/1/1990,NN,5-3707
6637Z,24,7.3152,Monitor,N,04/01/00,04/01/00,12/1/1990,NN,5-3707
6649Z,10,3.048,Monitor,Y,Current,08/02/21,2/1/1991,NN,5-0743
6650Z,10,3.048,Monitor,Y,Current,08/02/21,2/1/1991,NN,5-0743
6674Z,17,5.1816,Monitor,N,04/01/00,04/01/00,3/1/1991,NN,5-3707
6675Z,17,5.1816,Monitor,Y,Current,08/02/21,3/1/1991,NN,5-7080
6681Z,20,6.096,Monitor,Y,Current,08/02/21,3/1/1991,NN,NN
6682Z,20,6.096,Monitor,Y,Current,08/02/21,3/1/1991,NN,NN
6683Z,20,6.096,Monitor,Y,Current,08/02/21,3/1/1991,NN,NN
6684Z,15,4.572,Monitor,Y,Current,08/02/21,2/1/1991,NN,5-0062
6685Z,15,4.572,Monitor,Y,Current,08/02/21,2/1/1991,NN,5-0062
6686Z,15,4.572,Monitor,Y,Current,08/02/21,2/1/1991,NN,5-0062
6687Z,380,115.824,Domestic,Y,Current,08/02/21,8/1/1992,NN,NN
6709Z,25,7.62,Monitor,N,03/01/00,03/01/00,9/1/1992,NN,NN
6710Z,25,7.62,Monitor,N,03/01/00,03/01/00,9/1/1992,NN,NN
6711Z,25,7.62,Monitor,N,03/01/00,03/01/00,9/1/1992,NN,NN
6712Z,21,6.4008,Recovery,Y,Current,08/02/21,6/1/1991,NN,3980053
6713Z,300,91.44,Heat Pump,Y,Current,08/02/21,6/1/1991,NN,NN
6734Z,26,7.9248,Monitor,N,07/01/04,07/01/04,7/1/1991,NN,NN
6735Z,16,4.8768,Monitor,Y,Current,08/02/21,7/1/1991,NN,NN
6736Z,16,4.8768,Monitor,Y,Current,08/02/21,7/1/1991,NN,NN
6748Z,380,115.824,Domestic,Y,Current,08/02/21,4/1/1992,NN,NN
6802Z,40,12.192,Monitor,Y,Current,08/02/21,11/1/1991,NN,REFINERY
6874Z,380,115.824,Domestic,Y,Current,08/02/21,4/1/1992,NN,NN
6879Z,16,4.8768,Monitor,N,04/01/99,04/01/99,9/1/1992,NN,3980039
6880Z,16,4.8768,Monitor,N,04/01/99,04/01/99,9/1/1992,NN,3980039
